x,y,z
7,15,49.3833
7,16,51.21492
7,17,53.04654
7,18,54.878159999999994
7,19,56.709779999999995
7,20,58.541399999999996
7,21,60.37302
7,22,62.20463999999999
7,23,64.03626
7,24,65.86787999999999
7,25,67.69949999999999
7,26,69.53111999999999
7,27,71.36273999999999
7,28,73.19435999999999
7,29,75.02597999999999
7,30,76.85759999999999
7,31,78.68921999999999
7,32,80.52083999999999
7,33,82.35246
7,34,84.18408
7,35,86.01569999999998
7,36,87.84731999999998
7,37,89.67893999999998
7,38,91.51055999999998
7,39,93.34217999999998
7,40,95.17379999999999
7,41,97.00541999999999
7,42,98.83703999999999
7,43,100.66865999999997
7,44,102.50027999999998
7,45,104.33189999999998
7,46,106.16351999999998
7,47,107.99513999999998
7,48,109.82675999999998
7,49,111.65837999999998
8,1,26.868779999999997
8,2,28.74156
8,3,30.61434
8,4,32.48712
8,5,34.359899999999996
8,6,36.232679999999995
8,7,38.105459999999994
8,8,39.97824
8,9,41.85101999999999
8,10,43.7238
8,11,45.59657999999999
8,12,47.469359999999995
8,13,49.342139999999986
8,14,51.21492
8,15,53.08769999999999
8,16,54.96048
8,17,56.83325999999999
8,18,58.70603999999999
8,19,60.57881999999999
8,20,62.45159999999999
8,21,64.32437999999999
8,22,66.19715999999998
8,23,68.06993999999999
8,24,69.94272
8,25,71.81549999999999
8,26,73.68827999999998
8,27,75.56106
8,28,77.43384
8,29,79.30662
8,30,81.17939999999999
8,31,83.05217999999999
8,32,84.92496
8,33,86.79773999999999
8,34,88.67051999999998
8,35,90.54329999999999
8,36,92.41607999999998
8,37,94.28886
8,38,96.16163999999999
8,39,98.03442
8,40,99.90719999999999
8,41,101.77998
8,42,103.65275999999999
8,43,105.52553999999999
8,44,107.39831999999998
8,45,109.27109999999999
8,46,111.14387999999998
8,47,113.01665999999999
8,48,114.88944
8,49,116.76222
9,1,29.99694
9,2,31.910879999999995
9,3,33.824819999999995
9,4,35.73875999999999
9,5,37.65269999999999
9,6,39.56663999999999
9,7,41.48057999999999
9,8,43.394519999999986
9,9,45.30845999999999
9,10,47.22239999999999
9,11,49.13634
9,12,51.050279999999994
9,13,52.96421999999999
9,14,54.878159999999994
9,15,56.79209999999999
9,16,58.70603999999999
9,17,60.61998
9,18,62.53391999999999
9,19,64.44785999999999
9,20,66.36179999999999
9,21,68.27574
9,22,70.18968
9,23,72.10361999999999
9,24,74.01755999999999
9,25,75.93149999999999
9,26,77.84544
9,27,79.75938
9,28,81.67331999999999
9,29,83.58725999999999
9,30,85.50119999999998
9,31,87.41513999999998
9,32,89.32907999999999
9,33,91.24301999999999
9,34,93.15696
9,35,95.07089999999998
9,36,96.98483999999998
9,37,98.89877999999999
9,38,100.81272
9,39,102.72666
9,40,104.64059999999999
9,41,106.55453999999999
9,42,108.46848
9,43,110.38242
9,44,112.29635999999999
9,45,114.21029999999999
9,46,116.12423999999999
9,47,118.03817999999998
9,48,119.95212
9,49,121.86605999999999
10,1,33.125099999999996
10,2,35.08019999999999
10,3,37.0353
10,4,38.990399999999994
10,5,40.945499999999996
10,6,42.90059999999999
10,7,44.85569999999999
10,8,46.81079999999999
10,9,48.765899999999995
10,10,50.72099999999999
10,11,52.67609999999999
10,12,54.63119999999999
10,13,56.586299999999994
10,14,58.541399999999996
10,15,60.49649999999999
10,16,62.45159999999999
10,17,64.40669999999999
10,18,66.36179999999999
10,19,68.31689999999999
10,20,70.27199999999999
10,21,72.2271
10,22,74.1822
10,23,76.1373
10,24,78.09239999999998
10,25,80.04749999999999
10,26,82.0026
10,27,83.95769999999999
10,28,85.91279999999999
10,29,87.86789999999998
10,30,89.823
10,31,91.7781
10,32,93.73319999999998
10,33,95.6883
10,34,97.64339999999999
10,35,99.59849999999999
10,36,101.55359999999999
10,37,103.50869999999999
10,38,105.46379999999999
10,39,107.41889999999998
